key,vsm_actual_x,SaldoInsolutoActual_x,PagosVencidosMeses_x,vsm_actual_y,SaldoInsolutoActual_y,PagosVencidosMeses_y,estado
2492,2686.144,213.33,0,2686.144,214.2,0,Nayarit
2493,2686.144,174.64,0,2686.144,177.29,0,Jalisco
2494,2686.144,123.09,4,2686.144,121.11,3,Jalisco
2495,2686.144,152.4,0,2686.144,153.03,0,Jalisco
2496,2686.144,122.03,0,2686.144,126.37,0,Jalisco
2497,2686.144,133.98,0,2686.144,133.13,0,Nayarit
2498,2686.144,352.62,1,2686.144,353.98,1,Jalisco
2499,2686.144,156.43,1,2686.144,157.05,1,Nayarit
2500,2686.144,91.88,0,2686.144,92.27,0,Nayarit
2501,2686.144,62.0,0,2686.144,62.4,0,Nayarit
2502,2686.144,195.73,0,2686.144,194.39,0,Nayarit
2503,2686.144,375.15,1,2686.144,380.7,1,Jalisco
2504,2686.144,67.25,0,2686.144,67.49,0,Nayarit
2505,2686.144,33.84,0,2686.144,34.64,0,Michoacan
2506,2686.144,164.06,2,2686.144,161.38,1,Michoacan
2507,2686.144,255.86,0,2686.144,261.61,0,Michoacan
2508,2686.144,169.95,0,2686.144,172.33,1,Michoacan
2509,2686.144,482.44,0,2686.144,493.12,0,Michoacan
2510,2686.144,301.31,0,2686.144,302.64,0,Michoacan
2511,2686.144,162.61,0,2686.144,163.32,0,Michoacan
2512,2686.144,138.29,0,2686.144,138.84,0,Michoacan
2513,2686.144,361.94,0,2686.144,367.04,0,Michoacan
2514,2686.144,151.06,1,2686.144,148.28,0,Michoacan
2515,2686.144,66.18,0,2686.144,68.44,0,Colima
2516,2686.144,83.61,0,2686.144,83.84,0,Colima
2517,2686.144,220.6,0,2686.144,222.45,0,Colima
2518,2686.144,233.9,0,2686.144,234.88,0,Colima
2519,2686.144,159.74,0,2686.144,160.23,0,Colima
2520,2686.144,85.62,0,2686.144,86.91,0,Colima
2521,2686.144,111.78,0,2686.144,112.26,0,Michoacan
2522,2686.144,65.62,0,2686.144,68.35,0,Michoacan
2523,2686.144,69.07,0,2686.144,70.97,0,Michoacan
2524,2686.144,131.18,1,2686.144,130.4,1,Michoacan
2525,2686.144,140.84,0,2686.144,143.84,0,Michoacan
