key,vsm_enero,vsm_febrero,PagosVencidos_enero,PagosVencidos_febrero,RemainingDebt_enero,RemainingDebt_febrero,estado
87,2686.1440000000002,2686.1440000000002,0,0,76.58,76.19,San Luis Potosi
88,2686.1440000000002,2686.1440000000002,0,0,137.84,136.51,San Luis Potosi
89,2686.1440000000002,2686.1440000000002,0,0,217.26,215.22,San Luis Potosi
90,2686.1440000000002,2686.1440000000002,0,0,142.19,141.53,San Luis Potosi
91,2686.1440000000002,2686.1440000000002,0,0,146.87,146.13,San Luis Potosi
92,2686.1440000000002,2686.1440000000002,0,0,171.41,170.6,San Luis Potosi
93,2686.1440000000002,2686.1440000000002,0,0,114.57,114.07,San Luis Potosi
94,2686.1440000000002,2686.1440000000002,0,0,184.21,185.03,San Luis Potosi
95,2686.1440000000002,2686.1440000000002,0,1,151.41,154.0,San Luis Potosi
96,2686.1440000000002,2686.1440000000002,0,0,128.31,127.09,San Luis Potosi
97,2686.1440000000002,2686.1440000000002,0,0,129.57,127.56,San Luis Potosi
98,2686.1440000000002,2686.1440000000002,0,0,121.64,121.04,San Luis Potosi
99,2686.1440000000002,2686.1440000000002,0,0,250.81,252.39,San Luis Potosi
100,2686.1440000000002,2686.1440000000002,0,0,196.1,195.21,San Luis Potosi
101,2686.1440000000002,2686.1440000000002,0,1,154.65,152.76,Jalisco
102,2686.1440000000002,2686.1440000000002,0,0,115.8,113.03,San Luis Potosi
103,2686.1440000000002,2686.1440000000002,0,0,241.52,240.42,San Luis Potosi
104,2686.1440000000002,2686.1440000000002,0,0,125.47,121.61,San Luis Potosi
105,2686.1440000000002,2686.1440000000002,0,0,135.16,134.56,San Luis Potosi
106,2686.1440000000002,2686.1440000000002,0,0,177.37,176.54,San Luis Potosi
107,2686.1440000000002,2686.1440000000002,0,0,121.19,118.13,San Luis Potosi
108,2686.1440000000002,2686.1440000000002,0,0,125.27,126.05,San Luis Potosi
109,2686.1440000000002,2686.1440000000002,0,0,141.21,140.55,San Luis Potosi
110,2686.1440000000002,2686.1440000000002,0,0,60.79,59.25,San Luis Potosi
111,2686.1440000000002,2686.1440000000002,0,0,146.84,144.3,San Luis Potosi
112,2686.1440000000002,2686.1440000000002,0,0,151.06,150.36,San Luis Potosi
113,2686.1440000000002,2686.1440000000002,0,0,158.59,157.85,San Luis Potosi
114,2686.1440000000002,2686.1440000000002,0,0,216.06,217.42,San Luis Potosi
115,2686.1440000000002,2686.1440000000002,0,0,38.65,37.34,San Luis Potosi
116,2686.1440000000002,2686.1440000000002,1,1,174.26,173.51,San Luis Potosi
117,2686.1440000000002,2686.1440000000002,0,0,100.74,100.26,San Luis Potosi
118,2686.1440000000002,2686.1440000000002,0,0,121.67,119.3,San Luis Potosi
119,2686.1440000000002,2686.1440000000002,1,1,240.76,236.64,San Luis Potosi
120,2686.1440000000002,2686.1440000000002,1,1,374.66,373.26,San Luis Potosi
121,2686.1440000000002,2686.1440000000002,1,2,244.2,248.0,San Luis Potosi
122,2686.1440000000002,2686.1440000000002,0,0,206.16,205.2,San Luis Potosi
123,2686.1440000000002,2686.1440000000002,0,0,121.26,119.84,San Luis Potosi
124,2686.1440000000002,2686.1440000000002,0,0,207.56,206.56,San Luis Potosi
125,2686.1440000000002,2686.1440000000002,0,1,89.22,90.75,San Luis Potosi
126,2686.1440000000002,2686.1440000000002,0,0,133.46,132.84,San Luis Potosi
127,2686.1440000000002,2686.1440000000002,0,0,159.35,158.53,San Luis Potosi
128,2686.1440000000002,2686.1440000000002,0,0,214.28,217.7,San Luis Potosi
129,2686.1440000000002,2686.1440000000002,0,0,100.16,99.2,San Luis Potosi
130,2686.1440000000002,2686.1440000000002,0,0,210.04,209.13,San Luis Potosi
131,2686.1440000000002,2686.1440000000002,0,0,120.07,118.24,San Luis Potosi
132,2686.1440000000002,2686.1440000000002,0,0,75.6,73.69,San Luis Potosi
133,2686.1440000000002,2686.1440000000002,0,0,79.88,77.22,San Luis Potosi
134,2686.1440000000002,2686.1440000000002,0,0,126.17,125.18,San Luis Potosi
135,2686.1440000000002,2686.1440000000002,0,0,86.31,85.91,San Luis Potosi
136,2686.1440000000002,2686.1440000000002,0,0,95.2,92.74,San Luis Potosi
137,2686.1440000000002,2686.1440000000002,0,1,225.3,222.03,San Luis Potosi
138,2686.1440000000002,2686.1440000000002,0,0,214.32,217.74,Jalisco
139,2686.1440000000002,2686.1440000000002,0,0,111.38,109.18,San Luis Potosi
140,2686.1440000000002,2686.1440000000002,0,0,234.7,236.04,San Luis Potosi
141,2686.1440000000002,2686.1440000000002,0,0,317.79,315.9,San Luis Potosi
142,2686.1440000000002,2686.1440000000002,0,0,77.5,77.19,San Luis Potosi
143,2686.1440000000002,2686.1440000000002,0,0,157.29,156.57,San Luis Potosi
144,2686.1440000000002,2686.1440000000002,0,0,152.51,150.21,San Luis Potosi
145,2686.1440000000002,2686.1440000000002,0,0,102.66,101.7,San Luis Potosi
146,2686.1440000000002,2686.1440000000002,0,0,190.81,187.88,Jalisco
147,2686.1440000000002,2686.1440000000002,0,0,104.51,103.6,San Luis Potosi
148,2686.1440000000002,2686.1440000000002,0,0,154.21,153.37,San Luis Potosi
149,2686.1440000000002,2686.1440000000002,0,0,129.32,126.7,San Luis Potosi
150,2686.1440000000002,2686.1440000000002,0,0,94.83,93.74,San Luis Potosi
151,2686.1440000000002,2686.1440000000002,0,0,100.78,98.83,San Luis Potosi
152,2686.1440000000002,2686.1440000000002,0,1,82.7,81.91,San Luis Potosi
153,2686.1440000000002,2686.1440000000002,0,0,202.63,201.68,San Luis Potosi
154,2686.1440000000002,2686.1440000000002,0,0,180.48,179.13,San Luis Potosi
155,2686.1440000000002,2686.1440000000002,0,0,91.26,90.85,San Luis Potosi
156,2686.1440000000002,2686.1440000000002,0,0,165.1,162.82,San Luis Potosi
157,2686.1440000000002,2686.1440000000002,0,0,116.02,115.52,San Luis Potosi
158,2686.1440000000002,2686.1440000000002,0,0,99.74,100.12,San Luis Potosi
159,2686.1440000000002,2686.1440000000002,0,0,38.08,35.69,San Luis Potosi
160,2686.1440000000002,2686.1440000000002,0,0,116.27,115.77,San Luis Potosi
161,2686.1440000000002,2686.1440000000002,0,0,131.64,132.44,San Luis Potosi
162,2686.1440000000002,2686.1440000000002,0,0,225.09,223.4,San Luis Potosi
163,2686.1440000000002,2686.1440000000002,0,0,677.49,668.74,San Luis Potosi
164,2686.1440000000002,2686.1440000000002,0,0,221.73,220.7,San Luis Potosi
165,2686.1440000000002,2686.1440000000002,0,0,100.71,98.19,San Luis Potosi
166,2686.1440000000002,2686.1440000000002,0,0,86.6,85.3,San Luis Potosi
167,2686.1440000000002,2686.1440000000002,0,0,181.39,179.72,San Luis Potosi
168,2686.1440000000002,2686.1440000000002,0,0,73.24,71.6,San Luis Potosi
169,2686.1440000000002,2686.1440000000002,0,0,124.46,123.9,San Luis Potosi
170,2686.1440000000002,2686.1440000000002,0,0,244.94,243.95,San Luis Potosi
171,2686.1440000000002,2686.1440000000002,0,0,136.33,135.74,Guanajuato
172,2686.1440000000002,2686.1440000000002,1,1,163.83,161.11,San Luis Potosi
173,2686.1440000000002,2686.1440000000002,0,1,206.54,204.03,San Luis Potosi
174,2686.1440000000002,2686.1440000000002,0,0,121.89,121.42,San Luis Potosi
175,2686.1440000000002,2686.1440000000002,0,1,131.98,132.84,San Luis Potosi
176,2686.1440000000002,2686.1440000000002,0,0,88.55,88.99,San Luis Potosi
177,2686.1440000000002,2686.1440000000002,0,0,120.51,119.93,San Luis Potosi
178,2686.1440000000002,2686.1440000000002,0,0,208.15,207.2,San Luis Potosi
179,2686.1440000000002,2686.1440000000002,0,0,104.67,104.46,San Luis Potosi
180,2686.1440000000002,2686.1440000000002,0,0,167.99,0.0,San Luis Potosi
181,2686.1440000000002,2686.1440000000002,0,0,131.79,131.24,San Luis Potosi
182,2686.1440000000002,2686.1440000000002,0,0,168.28,167.56,San Luis Potosi
183,2686.1440000000002,2686.1440000000002,0,0,140.31,138.84,San Luis Potosi
184,2686.1440000000002,2686.1440000000002,0,0,174.0,176.15,San Luis Potosi
185,2686.1440000000002,2686.1440000000002,0,0,181.56,180.77,San Luis Potosi
186,2686.1440000000002,2686.1440000000002,0,0,108.73,109.46,San Luis Potosi
187,2686.1440000000002,2686.1440000000002,0,0,194.51,193.62,San Luis Potosi
188,2686.1440000000002,2686.1440000000002,0,0,113.87,113.42,San Luis Potosi
189,2686.1440000000002,2686.1440000000002,0,0,196.35,194.88,San Luis Potosi
190,2686.1440000000002,2686.1440000000002,0,0,116.71,114.76,San Luis Potosi
191,2686.1440000000002,2686.1440000000002,0,0,298.67,297.39,San Luis Potosi
192,2686.1440000000002,2686.1440000000002,1,2,145.36,146.34,San Luis Potosi
193,2686.1440000000002,2686.1440000000002,0,0,167.49,163.73,San Luis Potosi
194,2686.1440000000002,2686.1440000000002,0,0,175.25,175.9,San Luis Potosi
195,2686.1440000000002,2686.1440000000002,0,0,227.03,226.01,San Luis Potosi
196,2686.1440000000002,2686.1440000000002,0,0,67.62,65.89,Jalisco
197,2686.1440000000002,2686.1440000000002,0,0,207.65,206.23,San Luis Potosi
198,2686.1440000000002,2686.1440000000002,0,0,143.23,142.62,San Luis Potosi
199,2686.1440000000002,2686.1440000000002,0,1,231.77,234.16,San Luis Potosi
200,2686.1440000000002,2686.1440000000002,0,0,54.71,54.53,San Luis Potosi
201,2686.1440000000002,2686.1440000000002,0,1,53.34,52.52,Jalisco
202,2686.1440000000002,2686.1440000000002,0,0,214.14,213.17,San Luis Potosi
203,2686.1440000000002,2686.1440000000002,0,1,176.28,177.79,San Luis Potosi
204,2686.1440000000002,2686.1440000000002,0,0,187.5,186.66,San Luis Potosi
205,2686.1440000000002,2686.1440000000002,1,1,171.02,167.2,San Luis Potosi
206,2686.1440000000002,2686.1440000000002,0,0,76.17,74.47,San Luis Potosi
207,2686.1440000000002,2686.1440000000002,0,0,160.67,160.06,San Luis Potosi
208,2686.1440000000002,2686.1440000000002,0,0,219.87,218.95,San Luis Potosi
209,2686.1440000000002,2686.1440000000002,0,0,85.02,85.4,San Luis Potosi
210,2686.1440000000002,2686.1440000000002,0,0,169.97,169.23,San Luis Potosi
211,2686.1440000000002,2686.1440000000002,1,0,127.18,123.16,San Luis Potosi
212,2686.1440000000002,2686.1440000000002,0,0,209.26,208.31,San Luis Potosi
213,2686.1440000000002,2686.1440000000002,0,0,131.79,131.23,San Luis Potosi
214,2686.1440000000002,2686.1440000000002,1,2,246.4,240.32,Jalisco
215,2686.1440000000002,2686.1440000000002,0,0,226.72,223.29,San Luis Potosi
216,2686.1440000000002,2686.1440000000002,0,0,182.92,180.71,San Luis Potosi
217,2686.1440000000002,2686.1440000000002,1,1,145.16,145.69,San Luis Potosi
218,2686.1440000000002,2686.1440000000002,0,1,55.59,55.29,San Luis Potosi
219,2686.1440000000002,2686.1440000000002,0,0,225.95,222.84,San Luis Potosi
220,2686.1440000000002,2686.1440000000002,0,0,59.84,55.95,San Luis Potosi
221,2686.1440000000002,2686.1440000000002,0,0,175.76,173.12,San Luis Potosi
222,2686.1440000000002,2686.1440000000002,0,0,213.28,212.33,San Luis Potosi
223,2686.1440000000002,2686.1440000000002,0,0,33.99,33.7,San Luis Potosi
224,2686.1440000000002,2686.1440000000002,0,0,90.53,88.55,San Luis Potosi
225,2686.1440000000002,2686.1440000000002,0,0,176.39,175.64,San Luis Potosi
226,2686.1440000000002,2686.1440000000002,0,1,359.2,361.54,Jalisco
227,2686.1440000000002,2686.1440000000002,0,0,126.47,125.94,San Luis Potosi
228,2686.1440000000002,2686.1440000000002,0,0,124.77,124.23,San Luis Potosi
229,2686.1440000000002,2686.1440000000002,0,0,197.92,197.09,San Luis Potosi
230,2686.1440000000002,2686.1440000000002,0,0,16.65,16.13,San Luis Potosi
231,2686.1440000000002,2686.1440000000002,0,0,162.69,162.03,San Luis Potosi
232,2686.1440000000002,2686.1440000000002,0,0,145.75,141.2,San Luis Potosi
233,2686.1440000000002,2686.1440000000002,0,0,130.38,129.27,San Luis Potosi
234,2686.1440000000002,2686.1440000000002,0,0,185.85,185.1,San Luis Potosi
235,2686.1440000000002,2686.1440000000002,0,0,209.82,205.49,San Luis Potosi
236,2686.1440000000002,2686.1440000000002,0,0,76.18,75.89,San Luis Potosi
237,2686.1440000000002,2686.1440000000002,0,0,115.52,114.82,San Luis Potosi
238,2686.1440000000002,2686.1440000000002,0,0,130.69,131.59,San Luis Potosi
239,2686.1440000000002,2686.1440000000002,0,0,79.59,79.98,San Luis Potosi
240,2686.1440000000002,2686.1440000000002,0,0,219.54,217.55,San Luis Potosi
241,2686.1440000000002,2686.1440000000002,0,0,130.42,129.9,San Luis Potosi
242,2686.1440000000002,2686.1440000000002,0,1,233.13,232.19,Jalisco
243,2686.1440000000002,2686.1440000000002,0,0,216.06,215.12,San Luis Potosi
244,2686.1440000000002,2686.1440000000002,0,0,92.31,92.89,San Luis Potosi
245,2686.1440000000002,2686.1440000000002,0,1,131.85,131.33,Guanajuato
246,2686.1440000000002,2686.1440000000002,0,0,159.73,159.07,San Luis Potosi
247,2686.1440000000002,2686.1440000000002,0,0,174.68,173.97,San Luis Potosi
248,2686.1440000000002,2686.1440000000002,0,0,154.73,153.46,San Luis Potosi
249,2686.1440000000002,2686.1440000000002,0,0,165.18,164.47,San Luis Potosi
250,2686.1440000000002,2686.1440000000002,0,0,27.78,27.98,San Luis Potosi
251,2686.1440000000002,2686.1440000000002,0,0,112.13,110.8,San Luis Potosi
252,2686.1440000000002,2686.1440000000002,0,0,142.54,143.44,San Luis Potosi
253,2686.1440000000002,2686.1440000000002,0,0,107.69,108.19,San Luis Potosi
254,2686.1440000000002,2686.1440000000002,0,0,206.8,205.98,San Luis Potosi
255,2686.1440000000002,2686.1440000000002,0,0,469.98,468.33,San Luis Potosi
256,2686.1440000000002,2686.1440000000002,0,1,143.99,143.47,San Luis Potosi
257,2686.1440000000002,2686.1440000000002,0,0,101.7,101.27,San Luis Potosi
258,2686.1440000000002,2686.1440000000002,0,0,221.12,220.17,San Luis Potosi
259,2686.1440000000002,2686.1440000000002,0,1,157.4,156.84,San Luis Potosi
260,2686.1440000000002,2686.1440000000002,0,0,85.0,84.66,San Luis Potosi
261,2686.1440000000002,2686.1440000000002,0,0,94.15,93.74,San Luis Potosi
262,2686.1440000000002,2686.1440000000002,0,0,85.05,84.71,San Luis Potosi
263,2686.1440000000002,2686.1440000000002,0,0,149.45,148.8,San Luis Potosi
264,2686.1440000000002,2686.1440000000002,0,0,110.01,109.5,San Luis Potosi
265,2686.1440000000002,2686.1440000000002,0,0,105.7,105.27,San Luis Potosi
266,2686.1440000000002,2686.1440000000002,1,2,178.58,179.72,San Luis Potosi
267,2686.1440000000002,2686.1440000000002,0,0,164.92,164.25,San Luis Potosi
268,2686.1440000000002,2686.1440000000002,0,0,159.62,156.26,San Luis Potosi
269,2686.1440000000002,2686.1440000000002,0,0,255.83,254.83,San Luis Potosi
270,2686.1440000000002,2686.1440000000002,0,0,151.25,150.65,San Luis Potosi
271,2686.1440000000002,2686.1440000000002,0,0,133.17,132.62,San Luis Potosi
272,2686.1440000000002,2686.1440000000002,0,0,31.44,31.32,San Luis Potosi
273,2686.1440000000002,2686.1440000000002,0,0,90.84,90.45,San Luis Potosi
274,2686.1440000000002,2686.1440000000002,0,0,205.32,204.34,San Luis Potosi
275,2686.1440000000002,2686.1440000000002,0,0,307.76,303.77,San Luis Potosi
276,2686.1440000000002,2686.1440000000002,0,0,123.0,123.83,San Luis Potosi
277,2686.1440000000002,2686.1440000000002,1,0,139.98,139.32,San Luis Potosi
278,2686.1440000000002,2686.1440000000002,0,0,20.91,19.15,San Luis Potosi
279,2686.1440000000002,2686.1440000000002,0,0,288.95,287.26,San Luis Potosi
280,2686.1440000000002,2686.1440000000002,0,0,179.53,179.56,Estado de Mexico
281,2686.1440000000002,2686.1440000000002,0,0,161.66,162.62,Estado de Mexico
282,2686.1440000000002,2686.1440000000002,0,0,143.6,142.35,Estado de Mexico
283,2686.1440000000002,2686.1440000000002,0,0,178.15,175.39,Estado de Mexico
284,2686.1440000000002,2686.1440000000002,0,0,112.0,110.85,Estado de Mexico
285,2686.1440000000002,2686.1440000000002,0,1,114.15,113.62,Estado de Mexico
286,2686.1440000000002,2686.1440000000002,0,0,130.57,129.96,Estado de Mexico
287,2686.1440000000002,2686.1440000000002,0,0,185.55,183.87,Distrito Federal
288,2686.1440000000002,2686.1440000000002,0,0,176.13,175.23,Estado de Mexico
289,2686.1440000000002,2686.1440000000002,1,2,155.47,156.37,Estado de Mexico
290,2686.1440000000002,2686.1440000000002,0,0,137.0,136.35,Estado de Mexico
291,2686.1440000000002,2686.1440000000002,0,0,173.7,172.86,Estado de Mexico
292,2686.1440000000002,2686.1440000000002,0,0,100.99,98.75,Estado de Mexico
293,2686.1440000000002,2686.1440000000002,0,0,204.3,203.46,Estado de Mexico
294,2686.1440000000002,2686.1440000000002,0,0,151.53,150.83,Estado de Mexico
295,2686.1440000000002,2686.1440000000002,0,0,161.86,160.64,Estado de Mexico
296,2686.1440000000002,2686.1440000000002,0,0,27.9,27.62,Estado de Mexico
297,2686.1440000000002,2686.1440000000002,0,0,59.81,58.39,Estado de Mexico
298,2686.1440000000002,2686.1440000000002,0,0,190.62,189.68,Estado de Mexico
299,2686.1440000000002,2686.1440000000002,0,0,165.48,166.43,Jalisco
300,2686.1440000000002,2686.1440000000002,0,0,154.4,152.3,Estado de Mexico
301,2686.1440000000002,2686.1440000000002,0,1,167.9,165.35,Estado de Mexico
302,2686.1440000000002,2686.1440000000002,0,0,156.55,157.49,Estado de Mexico
303,2686.1440000000002,2686.1440000000002,0,0,246.08,245.06,Distrito Federal
304,2686.1440000000002,2686.1440000000002,0,0,84.31,83.92,Distrito Federal
305,2686.1440000000002,2686.1440000000002,0,0,136.78,136.21,Distrito Federal
306,2686.1440000000002,2686.1440000000002,0,0,101.53,100.0,Estado de Mexico
307,2686.1440000000002,2686.1440000000002,0,1,166.29,166.48,Estado de Mexico
308,2686.1440000000002,2686.1440000000002,0,0,199.39,198.49,Estado de Mexico
309,2686.1440000000002,2686.1440000000002,0,0,139.27,138.64,Estado de Mexico
310,2686.1440000000002,2686.1440000000002,3,4,137.56,139.76,Distrito Federal
311,2686.1440000000002,2686.1440000000002,0,0,231.07,232.48,Distrito Federal
312,2686.1440000000002,2686.1440000000002,0,0,86.16,86.47,Estado de Mexico
313,2686.1440000000002,2686.1440000000002,0,0,139.57,138.94,Estado de Mexico
314,2686.1440000000002,2686.1440000000002,0,0,111.29,110.79,Estado de Mexico
315,2686.1440000000002,2686.1440000000002,0,0,119.97,119.44,Estado de Mexico
316,2686.1440000000002,2686.1440000000002,0,0,140.03,138.82,Estado de Mexico
317,2686.1440000000002,2686.1440000000002,1,1,119.34,118.8,Estado de Mexico
318,2686.1440000000002,2686.1440000000002,0,0,4.76,3.6,Distrito Federal
319,2686.1440000000002,2686.1440000000002,1,1,60.76,59.12,Estado de Mexico
320,2686.1440000000002,2686.1440000000002,0,0,109.71,108.08,Estado de Mexico
321,2686.1440000000002,2686.1440000000002,0,0,174.15,173.29,Distrito Federal
322,2686.1440000000002,2686.1440000000002,0,0,107.74,106.7,Estado de Mexico
323,2686.1440000000002,2686.1440000000002,0,0,165.87,163.4,Estado de Mexico
324,2686.1440000000002,2686.1440000000002,0,0,306.15,304.83,Estado de Mexico
325,2686.1440000000002,2686.1440000000002,0,0,145.37,144.72,Estado de Mexico
326,2686.1440000000002,2686.1440000000002,0,0,107.51,107.17,Estado de Mexico
327,2686.1440000000002,2686.1440000000002,0,0,110.85,109.94,Estado de Mexico
328,2686.1440000000002,2686.1440000000002,0,0,147.37,146.77,Estado de Mexico
329,2686.1440000000002,2686.1440000000002,0,0,158.79,158.12,Distrito Federal
330,2686.1440000000002,2686.1440000000002,0,0,49.29,49.08,Distrito Federal
331,2686.1440000000002,2686.1440000000002,0,0,146.04,145.39,Estado de Mexico
332,2686.1440000000002,2686.1440000000002,0,0,166.48,167.61,Distrito Federal
333,2686.1440000000002,2686.1440000000002,0,0,179.29,181.97,Estado de Mexico
334,2686.1440000000002,2686.1440000000002,0,0,122.4,121.86,Distrito Federal
335,2686.1440000000002,2686.1440000000002,0,0,97.13,96.71,Estado de Mexico
336,2686.1440000000002,2686.1440000000002,0,0,91.25,89.31,Estado de Mexico
337,2686.1440000000002,2686.1440000000002,0,0,22.51,17.0,Distrito Federal
338,2686.1440000000002,2686.1440000000002,0,0,70.76,70.26,Estado de Mexico
339,2686.1440000000002,2686.1440000000002,0,0,224.98,223.98,Distrito Federal
340,2686.1440000000002,2686.1440000000002,0,0,43.78,42.83,Distrito Federal
341,2686.1440000000002,2686.1440000000002,0,0,121.03,120.5,Estado de Mexico
342,2686.1440000000002,2686.1440000000002,0,0,476.52,471.88,Estado de Mexico
343,2686.1440000000002,2686.1440000000002,0,0,148.01,147.39,Estado de Mexico
344,2686.1440000000002,2686.1440000000002,0,1,176.65,175.9,Estado de Mexico
